number,value,datetime_start,datetime_complete,duration,params_D,params_EXOG_ON,params_P,params_Q,params_d,params_enforce_invertibility,params_enforce_stationarity,params_m,params_p,params_q,params_trend,state
129,0.041240674139601294,2025-09-08 16:57:46.412680,2025-09-08 16:57:47.110682,0 days 00:00:00.698002,0,0,0,0,0,True,True,7,4,1,n,COMPLETE
130,0.041240674139601294,2025-09-08 16:57:46.469681,2025-09-08 16:57:47.179682,0 days 00:00:00.710001,0,0,0,0,0,True,True,7,4,1,n,COMPLETE
131,0.041240674139601294,2025-09-08 16:57:46.674680,2025-09-08 16:57:47.111682,0 days 00:00:00.437002,0,0,0,0,0,True,True,7,4,1,n,COMPLETE
132,0.041240674139601294,2025-09-08 16:57:46.700680,2025-09-08 16:57:47.120680,0 days 00:00:00.420000,0,0,0,0,0,True,True,7,4,1,n,COMPLETE
133,0.041240674139601294,2025-09-08 16:57:46.896681,2025-09-08 16:57:47.177681,0 days 00:00:00.281000,0,0,0,0,0,True,True,7,4,1,n,COMPLETE
134,0.04105584024234711,2025-09-08 16:57:47.103679,2025-09-08 16:57:47.185680,0 days 00:00:00.082001,0,0,0,0,0,True,True,7,2,1,n,COMPLETE
135,0.04105584024234711,2025-09-08 16:57:47.175680,2025-09-08 16:57:47.220683,0 days 00:00:00.045003,0,0,0,0,0,True,True,7,2,1,n,COMPLETE
136,0.04040276276171314,2025-09-08 16:57:47.213680,2025-09-08 16:57:47.246684,0 days 00:00:00.033004,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
137,0.04040276276171314,2025-09-08 16:57:47.225680,2025-09-08 16:57:47.282681,0 days 00:00:00.057001,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
138,0.04040276276171314,2025-09-08 16:57:47.251681,2025-09-08 16:57:47.309679,0 days 00:00:00.057998,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
139,0.0404835281535303,2025-09-08 16:57:47.285682,2025-09-08 16:57:47.337680,0 days 00:00:00.051998,0,0,0,0,0,True,True,7,3,3,n,COMPLETE
140,0.04163888491419558,2025-09-08 16:57:47.308681,2025-09-08 16:57:47.776679,0 days 00:00:00.467998,0,0,0,0,0,True,True,7,4,3,n,COMPLETE
141,1.9974955316530612,2025-09-08 16:57:47.702679,2025-09-08 16:57:47.978683,0 days 00:00:00.276004,0,1,0,0,1,True,True,7,0,3,n,COMPLETE
142,0.041040701042565,2025-09-08 16:57:47.751679,2025-09-08 16:57:47.848682,0 days 00:00:00.097003,0,0,0,0,0,True,True,7,2,2,n,COMPLETE
143,0.041040701042565,2025-09-08 16:57:47.789680,2025-09-08 16:57:47.876680,0 days 00:00:00.087000,0,0,0,0,0,True,True,7,2,2,n,COMPLETE
144,0.04040276276171314,2025-09-08 16:57:47.853680,2025-09-08 16:57:47.918681,0 days 00:00:00.065001,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
145,0.04040276276171314,2025-09-08 16:57:47.867679,2025-09-08 16:57:47.954680,0 days 00:00:00.087001,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
146,0.04040276276171314,2025-09-08 16:57:47.888682,2025-09-08 16:57:47.942681,0 days 00:00:00.053999,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
147,0.04040276276171314,2025-09-08 16:57:47.937680,2025-09-08 16:57:47.989680,0 days 00:00:00.052000,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
148,0.04040276276171314,2025-09-08 16:57:47.952680,2025-09-08 16:57:48.011680,0 days 00:00:00.059000,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
149,1.992144135700487,2025-09-08 16:57:47.984681,2025-09-08 16:57:49.220679,0 days 00:00:01.235998,0,0,0,0,1,True,True,7,4,2,c,COMPLETE
150,0.5625025255216539,2025-09-08 16:57:48.003679,2025-09-08 16:57:49.087679,0 days 00:00:01.084000,0,1,0,0,0,True,True,7,0,5,n,COMPLETE
151,0.04040276276171314,2025-09-08 16:57:48.034680,2025-09-08 16:57:48.138679,0 days 00:00:00.103999,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
152,0.0404835281535303,2025-09-08 16:57:48.210682,2025-09-08 16:57:48.492681,0 days 00:00:00.281999,0,0,0,0,0,True,True,7,3,3,n,COMPLETE
153,0.04040276276171314,2025-09-08 16:57:48.528681,2025-09-08 16:57:48.680681,0 days 00:00:00.152000,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
154,0.04040276276171314,2025-09-08 16:57:48.700680,2025-09-08 16:57:48.981679,0 days 00:00:00.280999,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
155,0.04040276276171314,2025-09-08 16:57:48.993679,2025-09-08 16:57:49.042680,0 days 00:00:00.049001,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
156,0.05777959891109575,2025-09-08 16:57:49.033680,2025-09-08 16:57:51.224680,0 days 00:00:02.191000,0,0,0,0,0,True,True,7,3,2,c,PRUNED
157,0.04040276276171314,2025-09-08 16:57:49.056680,2025-09-08 16:57:49.131679,0 days 00:00:00.074999,0,0,0,0,0,True,True,7,3,2,n,COMPLETE
158,1.9937648274133533,2025-09-08 16:57:49.091679,2025-09-08 16:57:53.826680,0 days 00:00:04.735001,0,1,0,0,1,True,True,7,3,5,c,PRUNED
